root_cause,place_id,name,cities,surfaces_chips,fixed_by
eligibility_passed_api_omitted,ChIJfYXo7GfjwogRjEDK4RnJr8A,Bagel Babe Co.,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes; food:dessert,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJhY2ZLlPfwogRInh0mhpVusk,Bahia Beach,Anna Maria Island; Cortez; Lakewood Ranch,attractions:beaches,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJFVE2QJoXw4gRtyKfDfIQeh0,Ballerz Pinball Cafe,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJT3WjRlJBw4gRRyh_s7YFJQU,Bayfront Children's Playground,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJE2QTLQ9Aw4gR5k7zSH8vLZY,Bayfront Community Center (Bay Park Conservancy),Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJj5mZXMUVw4gRxUsGj0ccPvc,Bayfront Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ7wa-IxRAw4gRnwt6LGL2yeM,Bayfront Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJW_PbrhQVw4gRJ5AVTAzF-GA,Bayfront Park Addition,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJDySWBJsUw4gRwnFQR1osPMM,Bayfront Park Recreation Center,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ7ZQKSABBw4gRWylCABzpvOw,Baypoint park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ-dXwYevhwogR4fnuJd-YeZ0,Bean Wandering Coffee Downtown,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ08zZpRpBw4gRiDJBlBXfAHw,Bee Ridge Park,Anna Maria Island; Parrish,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJfWoghuzjwogRCzK3O-dYiY0,Beef 'O' Brady's,Anna Maria Island,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJi1oI4i39wogRCeZ6Ug8OMp8,Bella’s Bagels !!!!!,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto,food:cafes; food:dessert,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJdRZE6-k4w4gR9yGzAgQlPcw,Benderson Family Finish Tower at Nathan Benderson Park,Anna Maria Island,attractions:family; attractions:landmarks; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJc-m14Rc5w4gRrnsNnZ8pRJY,Benderson Park,Anna Maria Island,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJe2BjEpziwogRZ4IPOMe7ZT8,Bert and Walter Williams Pier,Anna Maria Island; Longboat Key; Parrish; Tampa,attractions:landmarks; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJPfvj-mn8wogRPbKGKsymumU,Bicentennial Park,Anna Maria Island; Tampa,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJIZ6NopZrw4gRajHvz0sFgqc,Bird Key Park,Anna Maria Island; Parrish,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJy3zcnzgXw4gRhtixEOe9nkg,Bishop Point,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ48kv0WzjwogRsxVzEuztReQ,Black Crow Coffee Co Grand Central Dist,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes; food:dessert,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJeWH0FnfhwogROuk81Bd8_C0,Black Crow Coffee Shop,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJX3W-9vMXw4gRqk-j7UeB3ts,Blackstone Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJp_xQViM5w4gRMOHZJkSk3is,Blue Door Med Spa - Lakewood Ranch,Anna Maria Island; Venice,attractions:all; attractions:spa,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJNVxs_YbhwogR_lrq-yc_YBI,Blush Tea and Coffee St Pete,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJn79uD1s6w4gR2VbHR5rFDGU,Bob Gardner Community Park,Anna Maria Island,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJc0KG8N47w4gRi6YrgK_jx28,Bob Gardner Dog Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJR0-AwqdAw4gR6McIzffF4BA,Bobby Jones Golf Club,Anna Maria Island,attractions:family; attractions:outdoors; family:adults; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJRfPBKCriwogR4yaS_ccI5so,Bodega on Central,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJZ7vMQGPjwogR1rc4CbOeQT8,Bosphorous Turkish Cuisine,Anna Maria Island; Parrish,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJObkCSmIWw4gRQDAhWKrjxxU,Bowlero Bradenton,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJW9D7NQbiwogRlC7BpnTMf3k,Boyd Hill Nature Preserve,Anna Maria Island; Longboat Key,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJDa6Sb_4dw4gRvC9L3jFeVfo,Boyd Hill Nature Preserve Visitor Center,Anna Maria Island; Longboat Key; Tampa,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJe9plG9lBw4gRZnx9HPyyPyI,Boyd Park,Anna Maria Island; Parrish,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJhYNIHaA5w4gRo5nKaKhw_6o,Braden River Nature Park,Anna Maria Island; Venice,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJhaFa_yE8w4gRO3UanoqVLv8,Braden River Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJm6YHl4PhwogRHXgaRna2Ndc,Brick & Mortar,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJZ93lH_oRw4gRdGz9kIY-QVo,Bridge Street Pier,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJe2oSMF_jwogRDqVSBxJHmyA,Bright Ice Scoop Shop,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:all; food:delivery; food:dessert; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJWUyEEXojw4gRsFy9QmBgWq4,Buffalo Creek Park,Anna Maria Island; Siesta Key,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJdb90KND9wogR95CF2V7974E,Buoys Waterfront Bar and Grill,Anna Maria Island,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJm_EUoMnlwogRieUOtNTe2ek,Burnt Sugar Comedy,Anna Maria Island,attractions:arts,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJsTGomDjlwogRRvfMYO_K8ao,Buttermilk Eatery,Anna Maria Island; Palmetto,food:breakfast,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ69ZcEwQlw4gRpx9RhNkxcYE,C & K Smokehouse BBQ,Anna Maria Island; Bradenton; Cortez; Ellenton; Lakewood Ranch; Palmetto; Parrish,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJLReLzCZCw4gR5M34j6fNUc8,CB's Saltwater Outfitters,Anna Maria Island,attractions:marinas; attractions:tours,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ3-wcgLJBw4gR9UGr_yLsHJY,CMX CinéBistro Siesta Key,Anna Maria Island; Parrish,attractions:arts,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJpXGK53VC24gRWMneFVtK6hY,Ca' d'Zan,Anna Maria Island; Venice,attractions:all; attractions:family; attractions:museums; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ75_T10bjwogRinmX-NdH7I4,Cafe Clementine,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes; food:delivery; food:dessert; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJIavfm5nhwogROZnbY0Pw98U,Cafe Gala,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ8TiwuIsDw4gRSEYWwRdgmJk,Cafe Riviera,Anna Maria Island; Cortez; Palmetto; Parrish,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJB2cBINfjwogRpbaMwxCtAjw,Café COPA,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:dessert,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJe5Ox97ECw4gR2fGQC-g97jc,Café Soleil,Anna Maria Island; Bradenton; Cortez; Ellenton; Longboat Key; Palmetto; Parrish,food:all; food:cafes; food:delivery; food:dessert; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJdZ6BP_f6wogRQBJFbdjpHew,Cajun Cafe on the Bayou,Anna Maria Island,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJU9K6YpDhwogRJqcxObHQnfY,Calida Kitchen & Wine,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJQwJ4hTImw4gRB_BNkw-4_e4,Camp Bayou Outdoor Learning Center,Anna Maria Island; Cortez; Tampa,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJr2JdOFwlw4gRcjEsX_-MBYU,Camp Creek at North River Ranch,Anna Maria Island; Sarasota,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJZ0D9uNtBw4gRymwcc4SsJwA,Canine Club Dog Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ3XdOSU3NwogRtax2XON9aAo,Capt Yak LLC,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJjbpE8twRw4gRUbXfuHT99u4,Captain Bam’s Jungle Float,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ653ZnXERw4gRclkdlxskkqc,Captain Fin's Sightseeing and Boat Tours,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJHTdUDQT9wogRB5cYNqzhm_E,Capybara Cafe,Anna Maria Island; Tampa,attractions:family; family:adults; family:all; family:kids,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJudC3AGv9wogRxD3uOujUCUM,Carino's Northern Italian Cuisine,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJU8yTEEVBw4gRFQ34T9FAcA0,Catch Fish Sarasota,Anna Maria Island; Parrish,attractions:marinas; attractions:tours; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ8-sEH1z9wogRElxj1_RVR_U,Category 36 Taphouse,Anna Maria Island; Cortez,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJNc7l4QhAw4gR2iw8HqKwQv8,Centennial Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJO3FsmoPhwogRZyFbILwm5gQ,Central Diner (DTSP),Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:breakfast,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJB2kb8rrhwogRukGipDiZABM,Central Gyro,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJSSjhZOE_w4gRfCCCXSktoX4,Charles Hegener Memorial Nature Walk,Anna Maria Island; Venice,attractions:family; attractions:landmarks; attractions:museums; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJDSi6LhpAw4gR7sxl2WqRy-s,"Charter Fishing Sarasota,",Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJJXrcGoxBw4gRkx_tNtDUQXo,Chasin' Tail Fishing Charters,Anna Maria Island; Parrish,attractions:marinas; attractions:tours,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJK6b43nXhwogRuJ7f4Z-pQ44,Chihuly Collection,Anna Maria Island; Cortez,attractions:arts; attractions:family; attractions:museums; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJDzcgN0bhwogRWRu_pgwnec0,Chiki Churros (St. Pete),Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:all; food:delivery; food:dessert; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJU4OInQbjwogRaLJk7_jPp9s,Chinelos Taqueria,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJk_dDawUdw4gRBPSYMqvLaYI,Circo Italian Kitchen,Anna Maria Island,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJnSCTNeUVw4gRXL8FthXHWlQ,Circus Museum Historic Galleries,Anna Maria Island; Venice,attractions:all; attractions:family; attractions:landmarks; attractions:museums; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ8YnHZOc4w4gR1GR8ww-GzhY,Circus Sarasota,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJSZFhSbtqw4gRjhWmX9S6RU0,City Island,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJzQI9X4HhwogRV--GFv9FWUU,City's Bistro,Anna Maria Island; Bradenton; Ellenton; Palmetto; Parrish,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJr5B534biwogRAajykNa8968,Clam Bayou Nature Park,Anna Maria Island; Longboat Key; Parrish; Tampa,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJld__2_HjwogRRrrnwG2eNbA,Clam Bayou Nature Preserve,Anna Maria Island; Longboat Key; Tampa,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJVXu6dH7iwogRAAgqa2jFtQA,Clam Bayou Nature Preserve - Kayak Launch,Anna Maria Island; Longboat Key; Tampa,attractions:family; attractions:marinas; attractions:outdoors; attractions:tours; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJUZ5HznMRw4gRMGBB_A4kIDA,CoastLine Dolphin & Snorkeling Excursions,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJs_j47ifjwogR3df7-zGfjEk,Coastal Ice Cream and Sweet Bar,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:all; food:delivery; food:dessert; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJQ_ednF5rw4gRXkqyUqRkL9o,Coastal Kayak Adventures,Anna Maria Island; Parrish,attractions:marinas; attractions:outdoors; attractions:tours; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJw1qFHwX_wogRrkIFdim_iZY,Coastal Souls Coffeehouse,Anna Maria Island,food:cafes,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJR2UjiOsgw4gRxxr901dT1So,Cockroach Bay Aquatic Preserve,Anna Maria Island; Longboat Key,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJXedUqMEgw4gRzQv0fNtzf_w,Cockroach Bay Preserve State Park,Anna Maria Island; Cortez,attractions:family; attractions:landmarks; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJZSRnIQrjwogRwNcMqBTiPlU,Cococello109,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:dessert,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJGTF7WnMDw4gR3tTn1NUVXvU,Coconut Charlie's Beach Bar & Grill,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJQQfiSiVHw4gRJCg2DzEVcho,Colonial Oaks Park,Anna Maria Island,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJezvwN98-w4gR9LoM9TPNCuQ,Conservatory Park,Anna Maria Island; Venice,attractions:all; attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJzzGPjSkRw4gRfecn6X09ufk,Coquina Beach Parking,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJS4AH0B8vw4gRF1MVwsvmoK8,Country Critters FL,Anna Maria Island; Cortez; Longboat Key,attractions:family; attractions:outdoors; attractions:themeparks; family:all; family:kids; family:toddlers,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ53aJQ7RKw4gRmhGLew07rJI,Cponies Beach Horseback Rides,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ1ygzUK4Cw4gRWRzhMDsjHDM,Crabby Bill's in St. Pete Beach,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJcdmkidHiwogRFEZ22-u-bGQ,Craft Kafe,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:dessert,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJKYekk5zhwogRB65AIOvkVEQ,Craft Kafe Downtown,Anna Maria Island; Parrish,food:all; food:delivery; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJZaPAe_Q7w4gR_6CJKaBdqy0,Creekwood Park,Anna Maria Island,family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJT7MA9R9Cw4gRB7Tz0R3EgyU,Crescent Beach,Anna Maria Island,attractions:beaches,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJRy0ULSJCw4gRM0LkdIWTKCE,"Crescent Beach, Sarasota",Anna Maria Island,attractions:beaches,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJWT46JR_hwogROaeup-BdAa4,Crescent Lake Dog Park,Anna Maria Island; Bradenton; Cortez,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ2fJHv2ThwogR0mfd-Wku3HA,Crescent Lake Park,Anna Maria Island; Bradenton; Cortez; Ellenton,attractions:family; attractions:outdoors; family:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJGUfpXgDjwogRUVleoMzQ1v0,Crispy Avenue Caffe,Anna Maria Island; Bradenton; Cortez; Ellenton; Palmetto; Parrish,food:all; food:cafes; food:delivery; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJhTVnyvjlwogRLyPZ7HYq45E,Crumbl,Anna Maria Island,food:dessert,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJr1gtVCBBw4gRDTMbLps3ZPk,Crunch Fitness - Sarasota Bee Ridge,Anna Maria Island; Parrish,attractions:spa,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJsQtFeYslw4gRKn9EDTd2txM,Culver’s,Anna Maria Island; Bradenton; Cortez; Ellenton; Lakewood Ranch; Longboat Key; Palmetto; Parrish; Sarasota; Siesta Key,food:all; food:delivery; food:dessert; food:dinner; food:lunch; food:quickbites,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJ94L54ID9wogRA6GfFXNMOAk,Curious Soul Bakery & Coffee Shop,Anna Maria Island,food:all,#1495 exhaustive ordered read
eligibility_passed_api_omitted,ChIJvR0qITHjwogRMglmXdX3hzE,Cybel - French Moroccan Fusion,Anna Maria Island,food:dinner; food:lunch,#1495 exhaustive ordered read
